Si (Silicon) - Palik

wavelength (microns), Im(eps)
0.249102, 11.3484
0.249, 11.3337
0.248489, 11.2625
0.248, 11.1941
0.247879, 11.1811
0.247271, 11.1158
0.247, 11.0866
0.246667, 11.054
0.246065, 10.995
0.246, 10.9885
0.245467, 10.9472
0.245, 10.9108
0.244871, 10.9002
0.244278, 10.851
0.2441, 10.8361
0.243688, 10.8106
0.243101, 10.774
0.2431, 10.7739
0.242517, 10.74
0.2422, 10.7216
0.241935, 10.7165
0.241357, 10.7055
0.2412, 10.7025
0.240781, 10.6928
0.2403, 10.6817
0.240208, 10.6802
0.239637, 10.6712
0.2394, 10.6674
0.23907, 10.6647
0.238505, 10.6599
0.2384, 10.659
0.237942, 10.6579
0.2375, 10.6568
0.237382, 10.6547
0.236825, 10.6447
0.2366, 10.6406
0.236271, 10.6382
0.235719, 10.6341
0.2357, 10.6339
0.235169, 10.618
0.2348, 10.6068
0.234623, 10.6033
0.234078, 10.5924
0.2339, 10.5888
0.233537, 10.5564
0.2331, 10.5173
0.232997, 10.5056
0.232461, 10.4447
0.2322, 10.4149
0.231926, 10.3738
0.231395, 10.2935
0.2313, 10.2791
0.230865, 10.1914
0.2305, 10.1175
0.230338, 10.079
0.229814, 9.9539
0.2296, 9.90277
0.229291, 9.82763
0.2288, 9.70751
0.228772, 9.70059
0.228254, 9.5741
0.2279, 9.4872
0.227739, 9.44198
0.227226, 9.29751
0.2271, 9.26185
0.226716, 9.15593
0.2263, 9.04096
0.226207, 9.02133
0.225702, 8.91372
0.2254, 8.84936
0.225198, 8.8031
0.224696, 8.688
0.2246, 8.66583
0.224197, 8.57627
0.2238, 8.48767
0.2237, 8.46521
0.223205, 8.35364
0.223, 8.3072
0.222713, 8.25691
0.222222, 8.17075
0.2222, 8.16684
0.221734, 8.06732
0.2214, 7.99576
0.221248, 7.97367
0.220764, 7.9032
0.2206, 7.8793
0.220282, 7.82601
0.219802, 7.74537
0.2198, 7.74504
0.219324, 7.66646
0.2191, 7.6293
0.218849, 7.58646
0.218375, 7.5055
0.2183, 7.49265
0.217903, 7.41925
0.2175, 7.34432
0.217434, 7.33918
0.216966, 7.30271
0.2168, 7.2897
0.216501, 7.25035
0.216037, 7.18915
0.216, 7.18421
0.215576, 7.13242
0.2153, 7.09863
0.215116, 7.06985
0.214659, 6.99796
0.2145, 6.97296
0.214203, 6.94205
0.2138, 6.89997
0.213749, 6.89176
0.213297, 6.81841
0.213, 6.76995
0.212848, 6.75199
0.2124, 6.69906
0.2123, 6.68727
0.211953, 6.65551
0.2116, 6.62302
0.211509, 6.60706
0.211067, 6.52916
0.2109, 6.49971
0.210626, 6.48582
0.210187, 6.46348
0.2101, 6.45901
0.209751, 6.40011
0.2094, 6.34082
0.209315, 6.33129
0.208882, 6.28233
0.2087, 6.26168
0.208451, 6.22514
0.208021, 6.16194
0.208, 6.15885
0.207593, 6.10542
0.2073, 6.06682
0.207167, 6.20039
0.206742, 6.62735
0.2066, 5.87618
0.2066, 5.87618
0.20632, 5.86694
0.205899, 5.85301
0.205479, 5.83909
0.205062, 5.82516
0.204646, 5.81123
0.204232, 5.7973
0.203819, 5.78338
0.203408, 5.76945
0.202999, 5.75552
0.202592, 5.7416
0.202186, 5.72767
0.201781, 5.71374
0.201379, 5.69982
0.200978, 5.68589
0.200578, 5.67196
0.20018, 5.65804
0.199784, 5.64411
0.199389, 5.63018
0.198996, 5.61626
0.198604, 5.60233
0.1984, 5.59504
0.198214, 5.57252
0.197826, 5.52527
0.197439, 5.47802
0.197053, 5.43076
0.196669, 5.38351
0.196286, 5.33626
0.195905, 5.289
0.195526, 5.24175
0.195148, 5.1945
0.194771, 5.14724
0.194396, 5.09999
0.194022, 5.05274
0.19365, 5.00548
0.193279, 4.95823
0.192909, 4.91098
0.192541, 4.86372
0.192175, 4.81647
0.191809, 4.76922
0.191445, 4.72196
0.191083, 4.67471
0.190722, 4.62746
0.1907, 4.62462
0.190362, 4.59089
0.190003, 4.555
0.189646, 4.51911
0.189291, 4.48322
0.188936, 4.44733
0.188583, 4.41144
0.188231, 4.37555
0.187881, 4.33966
0.187532, 4.30377
0.187184, 4.26788
0.186837, 4.23199
0.186492, 4.1961
0.186148, 4.16021
0.185805, 4.12432
0.185464, 4.08843
0.185123, 4.05255
0.184784, 4.01666
0.184447, 3.98077
0.18411, 3.94488
0.183775, 3.90899
0.1837, 3.90096
0.183441, 3.87976
0.183108, 3.85244
0.182776, 3.82513
0.182446, 3.79781
0.182116, 3.7705
0.181788, 3.74318
0.181462, 3.71587
0.181136, 3.68856
0.180811, 3.66124
0.180488, 3.63393
0.180166, 3.60661
0.179844, 3.5793
0.179525, 3.55198
0.179206, 3.52467
0.178888, 3.49736
0.178571, 3.47004
0.178256, 3.44273
0.177942, 3.41541
0.177628, 3.3881
0.177316, 3.36078
0.1771, 3.3418
0.177005, 3.33468
0.176695, 3.31135
0.176386, 3.28802
0.176079, 3.26468
0.175772, 3.24135
0.175466, 3.21801
0.175162, 3.19468
0.174858, 3.17135
0.174556, 3.14801
0.174254, 3.12468
0.173954, 3.10134
0.173655, 3.07801
0.173356, 3.05468
0.173059, 3.03134
0.172763, 3.00801
0.172467, 2.98467
0.172173, 2.96134
0.17188, 2.93801
0.171588, 2.91467
0.171296, 2.89134
0.171006, 2.868
0.171, 2.86752
0.170717, 2.84928
0.170428, 2.83065
0.170141, 2.81202
0.169855, 2.79339
0.169569, 2.77477
0.169285, 2.75614
0.169001, 2.73751
0.168719, 2.71888
0.168437, 2.70025
0.168156, 2.68162
0.167877, 2.663
0.167598, 2.64437
0.16732, 2.62574
0.167043, 2.60711
0.166767, 2.58848
0.166492, 2.56985
0.166217, 2.55123
0.165944, 2.5326
0.165672, 2.51397
0.1654, 2.49534
0.1653, 2.48846
0.165129, 2.47857
0.16486, 2.46289
0.164591, 2.44721
0.164323, 2.43153
0.164056, 2.41586
0.163789, 2.40018
0.163524, 2.3845
0.163259, 2.36882
0.162996, 2.35314
0.162733, 2.33746
0.162471, 2.32178
0.16221, 2.3061
0.161949, 2.29042
0.16169, 2.27474
0.161431, 2.25906
0.161173, 2.24338
0.160916, 2.2277
0.16066, 2.21202
0.160405, 2.19634
0.16015, 2.18067
0.16, 2.1714
0.159896, 2.16618
0.159643, 2.15343
0.159391, 2.14068
