SiO2 (Glass) - Palik

wavelength (microns), Im(eps)
0.23907, 0
0.238505, 0
0.237942, 0
0.237833, 0
0.237382, 0
0.236825, 0
0.236271, 0
0.235719, 0
0.235169, 0
0.234623, 0
0.234078, 0
0.233537, 0
0.232997, 0
0.232461, 0
0.231926, 0
0.231395, 0
0.230865, 0
0.230338, 0
0.230209, 0
0.229814, 0
0.229291, 0
0.228772, 0
0.228254, 0
0.227739, 0
0.227226, 0
0.226747, 0
0.226716, 0
0.226207, 0
0.225702, 0
0.225198, 0
0.224696, 0
0.224197, 0
0.2237, 0
0.223205, 0
0.222713, 0
0.222222, 0
0.221734, 0
0.221248, 0
0.220764, 0
0.220282, 0
0.219802, 0
0.219324, 0
0.218849, 0
0.218375, 0
0.217903, 0
0.217434, 0
0.216966, 0
0.216501, 0
0.216037, 0
0.215576, 0
0.215116, 0
0.214659, 0
0.214438, 0
0.214203, 0
0.213856, 0
0.213749, 0
0.213297, 0
0.212848, 0
0.2124, 0
0.211953, 0
0.211509, 0
0.211067, 0
0.210626, 0
0.210187, 0
0.209751, 0
0.209315, 0
0.208882, 0
0.208451, 0
0.208021, 0
0.207593, 0
0.207167, 0
0.206742, 0
0.2066, 0
0.20632, 0
0.205899, 0
0.205479, 0
0.205062, 0
0.204646, 0
0.204232, 0
0.203819, 0
0.203408, 0
0.202999, 0
0.202592, 0
0.202186, 0
0.201781, 0
0.201379, 0
0.200978, 0
0.200578, 0
0.20018, 0
0.199784, 0
0.199389, 0
0.198996, 0
0.198604, 0
0.1984, 0
0.198214, 0
0.197826, 0
0.197439, 0
0.197053, 0
0.196669, 0
0.196286, 0
0.195905, 0
0.195526, 0
0.195148, 0
0.194771, 0
0.194396, 0
0.194022, 0
0.19365, 0
0.193279, 0
0.192909, 0
0.192541, 0
0.192175, 0
0.191809, 0
0.191445, 0
0.191083, 0
0.190722, 0
0.1907, 0
0.190362, 0
0.190003, 0
0.189646, 0
0.189291, 0
0.188936, 0
0.188583, 0
0.188231, 0
0.187881, 0
0.187532, 0
0.187184, 0
0.186837, 0
0.186492, 0
0.186148, 0
0.185805, 0
0.185464, 0
0.185123, 0
0.184784, 0
0.184447, 0
0.18411, 0
0.183775, 0
0.1837, 0
0.183441, 0
0.183108, 0
0.182776, 0
0.182446, 0
0.182116, 0
0.181788, 0
0.181462, 0
0.181136, 0
0.180811, 0
0.180488, 0
0.180166, 0
0.179844, 0
0.179525, 0
0.179206, 0
0.178888, 0
0.178571, 0
0.178256, 0
0.177942, 0
0.177628, 0
0.177316, 0
0.1771, 0
0.177005, 0
0.176695, 0
0.176386, 0
0.176079, 0
0.175772, 0
0.175466, 0
0.175162, 0
0.174858, 0
0.174556, 0
0.174254, 0
0.173954, 0
0.173655, 0
0.173356, 0
0.173059, 0
0.172763, 0
0.172467, 0
0.1722, 0
0.172173, 0
0.17188, 0
0.171588, 0
0.171296, 0
0.171006, 0
0.170717, 0
0.170428, 0
0.170141, 0
0.169855, 0
0.169569, 0
0.169285, 0
0.169001, 0
0.168719, 0
0.168437, 0
0.168156, 0
0.167877, 0
0.167598, 0
0.1675, 0
0.16732, 0
0.167043, 0
0.166767, 0
0.166492, 0
0.166217, 0
0.165944, 0
0.165672, 0
0.1654, 0
0.165129, 0
0.16486, 0
0.164591, 0
0.164323, 0
0.164056, 0
0.163789, 0
0.163524, 0
0.163259, 0
0.1631, 0
0.162996, 3.91347e-07
0.162733, 1.37885e-06
0.162471, 2.36635e-06
0.16221, 3.35386e-06
0.161949, 4.34136e-06
0.16169, 5.32887e-06
0.161431, 6.31637e-06
0.161173, 7.30387e-06
0.160916, 8.29138e-06
0.16066, 9.27888e-06
0.160405, 1.02664e-05
0.16015, 1.12539e-05
0.159896, 1.22414e-05
