SiO2 (Glass) - Palik

wavelength (microns), Re(eps)
0.160916, 2.77271
0.16066, 2.7775
0.160405, 2.7823
0.16015, 2.7871
0.159896, 2.7919
0.159643, 2.7967
0.159391, 2.8015
0.15914, 2.8063
0.159, 2.80898
0.158889, 2.81135
0.158639, 2.81671
0.15839, 2.82207
0.158142, 2.82744
0.157895, 2.8328
0.157648, 2.83816
0.157402, 2.84352
0.157157, 2.84889
0.156913, 2.85425
0.156669, 2.85961
0.156426, 2.86497
0.156184, 2.87034
0.155943, 2.8757
0.155702, 2.88106
0.155462, 2.88642
0.155223, 2.89179
0.155, 2.8968
0.154985, 2.89719
0.154747, 2.90311
0.15451, 2.90903
0.154274, 2.91495
0.154038, 2.92088
0.153804, 2.9268
0.153569, 2.93272
0.153336, 2.93865
0.153103, 2.94457
0.1531, 2.94466
0.152872, 2.95039
0.15264, 2.95622
0.15241, 2.96204
0.15218, 2.96787
0.151951, 2.97369
0.151722, 2.97952
0.151494, 2.98534
0.151267, 2.99117
0.1512, 2.9929
0.151041, 2.99807
0.150815, 3.00542
0.15059, 3.01277
0.150366, 3.02012
0.150142, 3.02747
0.149919, 3.03482
0.149697, 3.04217
0.149475, 3.04952
0.1494, 3.05201
0.149254, 3.0568
0.149033, 3.06405
0.148814, 3.07129
0.148594, 3.07854
0.148376, 3.08578
0.148158, 3.09303
0.147941, 3.10027
0.147724, 3.10752
0.1476, 3.11169
0.147508, 3.11528
0.147293, 3.12374
0.147078, 3.1322
0.146864, 3.14065
0.146651, 3.14911
0.146438, 3.15757
0.146226, 3.16603
0.146014, 3.17448
0.1459, 3.17906
0.145803, 3.18309
0.145593, 3.19188
0.145383, 3.20068
0.145174, 3.20947
0.144965, 3.21826
0.144757, 3.22705
0.14455, 3.23584
0.144343, 3.24463
0.1442, 3.25074
0.144137, 3.25366
0.143932, 3.26321
0.143727, 3.27277
0.143522, 3.28232
0.143318, 3.29188
0.143115, 3.30143
0.142912, 3.31098
0.14271, 3.32054
0.142509, 3.33009
0.1425, 3.33051
0.142308, 3.34143
0.142107, 3.35285
0.141907, 3.36427
0.141708, 3.37569
0.141509, 3.38711
0.141311, 3.39853
0.141114, 3.40994
0.140917, 3.42136
0.1409, 3.42233
0.14072, 3.4331
0.140524, 3.44487
0.140329, 3.45664
0.140134, 3.46841
0.139939, 3.48018
0.139746, 3.49194
0.139552, 3.50371
0.13936, 3.51548
0.1393, 3.51913
0.139168, 3.52838
0.138976, 3.54179
0.138785, 3.5552
0.138594, 3.5686
0.138404, 3.58201
0.138214, 3.59542
0.138025, 3.60883
0.137837, 3.62224
0.1378, 3.62486
0.137649, 3.63597
0.137461, 3.64979
0.137274, 3.6636
0.137088, 3.67742
0.136902, 3.69123
0.136716, 3.70505
0.136531, 3.71886
0.136347, 3.73268
0.1362, 3.74371
0.136163, 3.74718
0.135979, 3.7644
0.135796, 3.78163
0.135614, 3.79885
0.135432, 3.81607
0.13525, 3.83329
0.135069, 3.85052
0.134889, 3.86774
0.1348, 3.87623
0.134709, 3.88506
0.134529, 3.90247
0.13435, 3.91988
0.134171, 3.93729
0.133993, 3.9547
0.133816, 3.97211
0.133638, 3.98952
0.133462, 4.00693
0.1333, 4.02289
0.133285, 4.02461
0.133109, 4.0452
0.132934, 4.06579
0.132759, 4.08639
0.132585, 4.10698
0.132411, 4.12758
0.132237, 4.14817
0.132064, 4.16877
0.1319, 4.18836
0.131892, 4.18945
0.131719, 4.21199
0.131548, 4.23452
0.131376, 4.25706
0.131206, 4.2796
0.131035, 4.30213
0.130865, 4.32467
0.130696, 4.3472
0.130527, 4.36974
0.1305, 4.37332
0.130358, 4.39342
0.13019, 4.41731
0.130022, 4.4412
0.129855, 4.4651
0.129688, 4.48899
0.129522, 4.51288
0.129356, 4.53678
0.12919, 4.56067
0.1291, 4.57367
0.129025, 4.58561
0.12886, 4.6118
0.128696, 4.638
0.128532, 4.66419
0.128368, 4.69039
0.128205, 4.71658
0.128042, 4.74278
0.12788, 4.76897
0.1278, 4.78194
0.127718, 4.79568
0.127557, 4.82291
0.127396, 4.85013
0.127235, 4.87735
0.127075, 4.90457
0.126915, 4.93179
0.126756, 4.95901
0.126597, 4.98624
0.1265, 5.00282
0.126438, 5.01201
0.12628, 5.03552
0.126122, 5.05903
0.125965, 5.08254
0.125808, 5.10605
0.125651, 5.12957
0.125495, 5.15308
0.125339, 5.17659
0.1252, 5.19757
0.125183, 5.19932
0.125028, 5.21561
0.124873, 5.23189
0.124719, 5.24817
0.124565, 5.26445
0.124412, 5.28074
0.124258, 5.29702
0.124106, 5.3133
0.124, 5.32457
0.123953, 5.32078
0.123801, 5.30846
0.123649, 5.29614
0.123498, 5.28383
0.123347, 5.27151
0.123196, 5.25919
0.123046, 5.24688
0.122896, 5.23456
0.1228, 5.22662
0.122747, 5.19749
0.122598, 5.11557
0.122449, 5.03365
0.122301, 4.95173
0.122153, 4.86982
0.122005, 4.7879
0.121858, 4.70598
0.121711, 4.62406
0.121564, 4.54214
0.1215, 4.50638
0.121418, 4.41914
0.121272, 4.26431
0.121126, 4.10948
0.121, 3.975
