Si (Silicon) - Palik

wavelength (microns), Re(eps)
0.3625, 31.4965
0.361564, 30.0292
0.3604, 28.1955
0.360273, 28.0401
0.358991, 26.4699
0.3583, 25.6188
0.357718, 25.059
0.356455, 23.8367
0.3563, 23.6864
0.3552, 23.0207
0.3542, 22.412
0.353954, 22.29
0.352717, 21.6739
0.3522, 21.4152
0.351488, 21.1529
0.350268, 20.7006
0.3502, 20.6753
0.349057, 20.3276
0.3483, 20.0963
0.347853, 19.9843
0.346658, 19.6832
0.3463, 19.5925
0.345472, 19.3817
0.3444, 19.1075
0.344293, 19.0834
0.343122, 18.8192
0.3425, 18.6781
0.341959, 18.5719
0.340804, 18.3438
0.3406, 18.3033
0.339657, 18.1246
0.3388, 17.9612
0.338518, 17.9049
0.337386, 17.6783
0.3369, 17.5804
0.336262, 17.4533
0.335145, 17.2298
0.3351, 17.2207
0.334036, 17.0147
0.3333, 16.8716
0.332933, 16.807
0.331839, 16.6134
0.3315, 16.5532
0.330751, 16.391
0.3297, 16.1621
0.32967, 16.1571
0.328597, 15.9753
0.328, 15.8737
0.32753, 15.7824
0.326471, 15.5753
0.3263, 15.5418
0.325418, 15.3745
0.3246, 15.2186
0.324372, 15.1765
0.323332, 14.9843
0.3229, 14.904
0.3223, 14.7732
0.321274, 14.5486
0.3212, 14.5324
0.320254, 14.378
0.3195, 14.2543
0.319241, 14.2033
0.318234, 14.0041
0.3179, 13.9378
0.317233, 13.8091
0.3163, 13.628
0.316239, 13.6166
0.315251, 13.4299
0.3147, 13.3252
0.31427, 13.2409
0.313294, 13.0489
0.3131, 13.0106
0.312324, 12.8295
0.3115, 12.6362
0.31136, 12.5989
0.310403, 12.342
0.31, 12.2335
0.309451, 12.0947
0.308505, 11.8544
0.3084, 11.8277
0.307564, 11.5577
0.3069, 11.3419
0.30663, 11.2403
0.305701, 10.8897
0.3054, 10.7756
0.304778, 10.5032
0.3039, 10.1172
0.30386, 10.0973
0.302948, 9.64235
0.3024, 9.36796
0.302041, 9.14295
0.301139, 8.57594
0.3009, 8.42475
0.300243, 7.90624
0.2995, 7.31638
0.299353, 7.18562
0.298467, 6.39663
0.298, 5.9783
0.297587, 5.49767
0.296712, 4.47459
0.2966, 4.34308
0.295842, 3.27862
0.2952, 2.37222
0.294977, 1.9859
0.294118, 0.488227
0.2938, -0.067319
0.293263, -1.16296
0.292413, -2.90467
0.2924, -2.93153
0.291568, -4.82786
0.291, -6.12934
0.290728, -6.82248
0.289893, -8.95999
0.2897, -9.45548
0.289062, -10.7976
0.2883, -12.4106
0.288237, -12.5247
0.287416, -14.0115
0.287, -14.7679
0.2866, -15.2486
0.285788, -16.227
0.2857, -16.3333
0.284981, -16.95
0.2844, -17.4503
0.284178, -17.5805
0.28338, -18.0507
0.2831, -18.2164
0.282587, -18.4557
0.2818, -18.8239
0.281797, -18.8249
0.281013, -19.1043
0.2805, -19.2877
0.280232, -19.3539
0.279456, -19.5464
0.2792, -19.6102
0.278684, -19.6969
0.278, -19.8124
0.277917, -19.8176
0.277154, -19.8648
0.2768, -19.8867
0.276394, -19.8658
0.275639, -19.8266
0.2755, -19.8193
0.274889, -19.7277
0.2743, -19.6392
0.274142, -19.6004
0.273399, -19.4176
0.2731, -19.3437
0.27266, -19.1937
0.271926, -18.942
0.2719, -18.9332
0.271195, -18.6534
0.2707, -18.4562
0.270468, -18.3551
0.269745, -18.039
0.2695, -17.9315
0.269026, -17.6834
0.2684, -17.3548
0.26831, -17.3129
0.267599, -16.9797
0.2672, -16.7922
0.266891, -16.6367
0.266187, -16.281
0.2661, -16.2369
0.265487, -15.9652
0.2649, -15.7041
0.26479, -15.6528
0.264097, -15.329
0.2638, -15.1896
0.263408, -15.0209
0.262722, -14.7248
0.2627, -14.7154
0.26204, -14.4543
0.2616, -14.2798
0.261361, -14.1865
0.260686, -13.9219
0.2605, -13.8489
0.260014, -13.6731
0.2594, -13.45
0.259346, -13.432
0.258681, -13.2108
0.2583, -13.0835
0.25802, -12.9936
0.257361, -12.7818
0.2572, -12.7297
0.256707, -12.5678
0.2562, -12.4008
